database	organism_or_subset	category	source_url	description	source_filename	source_format	source_version	released_on	license	login_required	beams_db_version	database_name	id	molecular_formula	inchi	inchi_key	pubchem_id	smiles	name
BioCyc	Chlamydomonas_reinhardtii	ChlamyCyc	ftp://ftp.plantcyc.org/Pathways/Data_dumps/PMN13_July2018/chlamycyc_compounds.20180702	PlantCyc - ChlamyCyc (Chlamydomonas reinhardtii) | 2018-07-02 | v1	ChlamyCyc_compounds.20180702	tab	2018-07-02	2018-07-02	-	0	v1	biocyc_chlamycyc_20180702_v1	Compound_id	Chemical_formula				Smiles	Compound_common_name
CHEBI		full	ftp://ftp.ebi.ac.uk/pub/databases/chebi/archive/rel169/SDF/ChEBI_complete.sdf.gz	CHEBI - Full database | rel169 | v1	ChEBI_complete.sdf	sdf	rel169	2018-10-01	https://creativecommons.org/licenses/by/4.0/	0	v1	chebi_full_rel169_v1	ChEBI ID	Formulae	InChI	InChIKey	PubChem Database Links	SMILES	ChEBI Name
CHEBI		full	ftp://ftp.ebi.ac.uk/pub/databases/chebi/archive/rel169/SDF/ChEBI_complete_3star.sdf.gz	CHEBI -  3stars records | rel169 | v1	ChEBI_complete_3star.sdf	sdf	rel169	2018-10-01	https://creativecommons.org/licenses/by/4.0/	0	v1	chebi_3star_rel169_v1	ChEBI ID	Formulae	InChI	InChIKey	PubChem Database Links	SMILES	ChEBI Name
DrugBank		full	https://www.drugbank.ca/releases/5-1-1/downloads/all-full-database/drugbank_all_full_database.xml.zip	DrugBank | v5.1.1 | v1	full database.xml	xml	v5.1.1	2018-07-03	https://www.drugbank.ca/about	1	v1	drugbank_full_v5_1_1_v1	drugbank-id	Molecular Formula	InChI	InChIKey	PubChem Compound	SMILES	name
FooDB	Food components	full	http://www.foodb.ca/system/foodb_2017_06_29_csv.tar.gz	FooDB - Food Component Database | v1.0 | v1	foodb_2017_06_29_csv/compounds.csv	comma	v1.0	2017-06-29	http://foodb.ca/downloads	0	v1	foodb_full_v1_0_v1	public_id	moldb_formula	moldb_inchi	moldb_inchikey	pubchem_compound_id	moldb_smiles	name
HMDB	Human	urine	http://www.hmdb.ca/system/downloads/current/urine_metabolites.zip	HMDB - The Urine Metabolome Database | v4.0 | v1	urine_metabolites.xml	xml	v4.0	2018-07-08	http://www.hmdb.ca/downloads	0	v1	hmdb_urine_v4_0_v1	accession	chemical_formula	inchi	inchi_key	pubchem_compound_id	smiles	name
HMDB	Human	serum	http://www.hmdb.ca/system/downloads/current/serum_metabolites.zip	HMDB - The Serum Metabolome Database | v4.0 | v1	serum_metabolites.xml	xml	v4.0	2018-07-08	http://www.hmdb.ca/downloads	0	v1	hmdb_serum_v4_0_v1	accession	chemical_formula	inchi	inchi_key	pubchem_compound_id	smiles	name
HMDB	Human	csf	http://www.hmdb.ca/system/downloads/current/csf_metabolites.zip	HMDB - The cerebrospinal fluid (CSF) Metabolome Database | v4.0 | v1	csf_metabolites.xml	xml	v4.0	2018-07-08	http://www.hmdb.ca/downloads	0	v1	hmdb_csf_v4_0_v1	accession	chemical_formula	inchi	inchi_key	pubchem_compound_id	smiles	name
HMDB	Human	saliva	http://www.hmdb.ca/system/downloads/current/saliva_metabolites.zip	HMDB - The Saliva Metabolome Database | v4.0 | v1	saliva_metabolites.xml	xml	v4.0	2018-07-08	http://www.hmdb.ca/downloads	0	v1	hmdb_saliva_v4_0_v1	accession	chemical_formula	inchi	inchi_key	pubchem_compound_id	smiles	name
HMDB	Human	faces	http://www.hmdb.ca/system/downloads/current/feces_metabolites.zip	HMDB - The Fecal Metabolome Database | v4.0 | v1	feces_metabolites.xml	xml	v4.0	2018-07-08	http://www.hmdb.ca/downloads	0	v1	hmdb_feces_v4_0_v1	accession	chemical_formula	inchi	inchi_key	pubchem_compound_id	smiles	name
