compound_id	molecular_formula	compound_name
1638	C10Cl10O	Chlordecone
38485	C10H10Br2O2	Dibromothymoquinone
32427	C10H10BrNO2	Brofoxine (USAN/INN)
39834	C10H10Cl2N2O	Fenmetozole (USAN)
10156	C10H10Cl2O3	"4-(2,4-Dichlorophenoxy)butyric acid"
33017	C10H10ClN3O	Clazolimine (USAN/INN)
10018	C10H10ClNO2	p-Chloroacetoacetanilide
34579	C10H10FN3S	Suritozole (USAN/INN)
38434	C10H10N2	1-benzylimidazole
7156	C10H10N2	Nicotyrine
2230	C10H10N2O	3-Indoleacetaldoxime
13441	C10H10N2O	Demethylated antipyrine
9421	C10H10N2O	Edaravone
316	C10H10N2O	Indole-3-acetamide
36595	C10H10N2O3	Amido Phenyl Pyruvic Acid
32928	C10H10N2O3	Caroxazone (USAN/INN)
35196	C10H10N2O3	Imidazole salicylate (INN)
33884	C10H10N2O3	Mequidox (USAN/INN)
36610	C10H10N2O3S	"2-(3,4-Dihydro-3-Oxo-2h-Benzo[B][1,4]Thiazin-2-Yl)-N-Hydroxyacetamide"
17783	C10H10N2O4S2	indolylmethyl glucosinolate aglycone
37809	C10H10N2O5S	"2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid"
38952	C10H10N2OS	CBS 113A
20072	C10H10N2OS	indolylmethylthiohydroximate
7919	C10H10N4O	Metamitron
4953	C10H10N4O2S	Sulfadiazine
37178	C10H10N4O3S	"7-(1-Methyl-1,2,3-Triazol-4-Yl)-6-Formyl-2,7-Dihydro-[1,4]Thiazepine-3-Carboxylic Acid, Brl42715, C6-(N1-Methyl-1,2,3-Triazolylmethylene)Penem"
1749	C10H10N4O5	5'-Oxoinosine
8537	C10H10N4O5	9-Riburonosylhypoxanthine
32297	C10H10N4OS	Methisazone (USAN)
32700	C10H10N6O2	Azanidazole (USAN/INN)
3882	C10H10O2	"1,2-Dihydronaphthalene-1,2-diol"
17775	C10H10O2	4-hydroxybenzalacetone
8962	C10H10O2	4-Hydroxycinnamoylmethane
18491	C10H10O2	benzoylacetone
2932	C10H10O2	"cis-1,2-Dihydronaphthalene-1,2-diol"
7463	C10H10O2	Isosafrole
3959	C10H10O2	Methyl cinnamate
7466	C10H10O2	p-Methoxycinnamaldehyde
7480	C10H10O2	Safrole
11157	C10H10O2	trans-2-Phenylcyclopropanecarboxylic acid
10532	C10H10O3	"1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene"
21370	C10H10O3	"10-hydroxy-8E-Decene-4,6-diynoic acid"
21371	C10H10O3	"10-hydroxy-8Z-Decene-4,6-diynoic acid"
7657	C10H10O3	3-Acetyl-6-methoxybenzaldehyde
12589	C10H10O3	4-Methoxycinnamic acid
21369	C10H10O3	"8S-hydroxy-2-Decene-4,6-diynoic acid"
21368	C10H10O3	"8S-hydroxy-2E-Decene-4,6-diynoic acid"
21782	C10H10O3	"9-oxo-2,4,5,7-decatetraenoic acid"
2095	C10H10O3	Coniferyl aldehyde
18490	C10H10O3	phenyl acetoacetate
1550	C10H10O3	Vermelone
6970	C10H10O4	"2,4,8-Trihydroxy-1-tetralone"
21943	C10H10O4	"2E,4E,6E,8E-Decatetraenedioic acid"
21941	C10H10O4	"2E,4E,6Z,8Z-Decatetraenedioic acid"
21942	C10H10O4	"2E,4Z,6Z,8Z-Decatetraenedioic acid"
9072	C10H10O4	5-Hydroxyconiferaldehyde
1960	C10H10O4	6-Hydroxymellein
8203	C10H10O4	Dimethyl phthalate
1475	C10H10O4	Ferulate
7461	C10H10O4	Isoferulic acid
7468	C10H10O4	Methyl caffeate
12626	C10H10O4	Monoethyl phthalate
1057	C10H10O4	Scytalone
3544	C10H10O5	5-Hydroxyferulate
739	C10H10O6	Chorismate
1124	C10H10O6	Isochorismate
742	C10H10O6	Prephenate
31724	C10H10O8	Aceglatone (JAN/INN)
19171	C10H11BrN2O2	monobromobimane
9704	C10H11BrN5O7P	8-Br-cGMP
38235	C10H11Cl2N	"8,9-Dichloro-2,3,4,5-Tetrahydro-1h-Benzo[C]Azepine"
39975	C10H11Cl2N3	Nemazoline (USAN)
37874	C10H11Cl2NO2S	Dica
33388	C10H11ClF3N3O4S3	Epithiazide (USAN)
35985	C10H11ClFN5O3	Clofarabine
34716	C10H11ClN5O6P	Tocladesine (USAN/INN)
9600	C10H11ClO3	Clofibric acid
30514	C10H11F3N2O5	Trifluridine (USP/INN)
37310	C10H11F3N2S	S-Ethyl-N-[4-(Trifluoromethyl)Phenyl]Isothiourea
31678	C10H11I2NO3	Propyliodone (JAN/USP/INN)
37639	C10H11IO2	2-Benzyl-3-Iodopropanoic Acid
32711	C10H11N3O	Azolimine (USAN/INN)
33800	C10H11N3O2	Lobendazole (USAN/INN)
38181	C10H11N3O2	Nz2-Tryptophan
34559	C10H11N3O2S2	Sulfasomizole (USAN/INN)
38606	C10H11N3O3S	1-METHYL-3-PHENYL-1H-PYRAZOL-5-YLSULFAMIC ACID
30564	C10H11N3O3S	Sulfamethoxazole (JP15/USP/INN)
38314	C10H11N3O5S	3-Nitro-4-(2-Oxo-Pyrrolidin-1-Yl)-Benzenesulfonamide
31032	C10H11N3O5S	Nifuratel (USAN)
7898	C10H11N3OS	Methabenzthiazuron
1158	C10H11N4O7P	"3',5'-Cyclic IMP"
37480	C10H11N5O2	"(1'r,2's)-9-(2-Hydroxy-3'-Keto-Cyclopenten-1-Yl)Adenine"
12557	C10H11N5O2	Dihydroxycoprostanoic acid
37539	C10H11N5O2S	4-[(6-Amino-4-Pyrimidinyl)Amino]Benzenesulfonamide
37518	C10H11N5O4	3'-Oxo-Adenosine
8436	C10H11N5O4	5'-Dehydroadenosine
38107	C10H11N5OS	"N-[4-(2,4-Dimethyl-1,3-Thiazol-5-Yl)Pyrimidin-2-Yl]-N'-Hydroxyimidoformamide"
37845	C10H11NO	"3,4-Dihydro-5-Methyl-Isoquinolinone"
6911	C10H11NO	Boschniakine
330	C10H11NO	Indole-3-ethanol
41576	C10H11NO2	"1,2-dehydrosalsolinol"
12510	C10H11NO2	5-Hydroxytryptophol
19263	C10H11NO2	indole-3-glycol
2504	C10H11NO3	(3-Arylcarbonyl)-alanine
