mass	mf
30.01056	CH2O
31.0422	CH5N
32.02621	CH4O
32.03745	H4N2
33.02146	H3NO
41.02655	C2H3N
44.02621	C2H4O
44.03745	CH4N2
44.0626	C3H8
45.02146	CH3NO
45.05785	C2H7N
46.00548	CH2O2
46.04186	C2H6O
48.00337	CH4S
48.02113	CH4O2
49.99233	CH3Cl
53.02655	C3H3N
54.01056	C3H2O
54.04695	C4H6
55.0422	C3H5N
56.02621	C3H4O
57.05785	C3H7N
58.00548	C2H2O2
58.04186	C3H6O
58.0531	C2H6N2
58.98297	CHNS
59.03711	C2H5NO
59.04835	CH5N3
59.0735	C3H9N
60.02113	C2H4O2
60.03236	CH4N2O
60.05751	C3H8O
60.06874	C2H8N2
60.99862	CH3NS
61.01638	CH3NO2
61.05276	C2H7NO
61.99233	C2H3Cl
62.00039	CH2O3
62.01163	H2N2O2
62.01679	C2H3FO
62.01902	C2H6S
62.03678	C2H6O2
62.99564	HNO3
64.00798	C2H5Cl
65.98707	H3O2P
67.0422	C4H5N
68.02621	C4H4O
68.03745	C3H4N2
68.0626	C5H8
69.0327	C2H3N3
69.05785	C4H7N
70.00548	C3H2O2
70.04186	C4H6O
70.0531	C3H6N2
70.07825	C5H10
71.03711	C3H5NO
71.0735	C4H9N
72.02113	C3H4O2
72.05751	C4H8O
72.06874	C3H8N2
72.0939	C5H12
73.01638	C2H3NO2
73.05276	C3H7NO
73.06399	C2H7N3
73.08914	C4H11N
74.00039	C2H2O3
74.01565	C6H2
74.03678	C3H6O2
74.04801	C2H6N2O
74.05924	CH6N4
74.07316	C4H10O
74.08439	C3H10N2
74.97789	CHNOS
75.01427	C2H5NS
75.03203	C2H5NO2
75.04326	CH5N3O
75.06841	C3H9NO
75.99829	C2H4OS
76.00952	CH4N2S
76.01604	C2H4O3
76.02728	CH4N2O2
76.03467	C3H8S
76.05243	C3H8O2
76.07489	CH8N4
77.02992	C2H7NS
77.97755	CH2O2S
77.98724	C2H3ClO
78.01171	C2H3FO2
78.01393	C2H6OS
78.04695	C6H6
79.01887	C2H6ClN
79.0422	C5H5N
80.00272	CH5O2P
80.00289	C2H5ClO
80.03745	C4H4N2
81.05785	C5H7N
81.98198	H3O3P
82.0531	C4H6N2
83.04835	C3H5N3
83.0735	C5H9N
83.95336	CH2Cl2
84.02113	C4H4O2
84.03236	C3H4N2O
84.04359	C2H4N4
84.05751	C5H8O
84.0939	C6H12
85.05276	C4H7NO
85.08914	C5H11N
86.03678	C4H6O2
86.04801	C3H6N2O
86.07316	C5H10O
86.08439	C4H10N2
87.03203	C3H5NO2
87.06841	C4H9NO
87.10479	C5H13N
88.01604	C3H4O3
88.03317	C2H5BO3
88.03467	C4H8S
88.05243	C4H8O2
88.06366	C3H8N2O
88.08881	C5H12O
88.10004	C4H12N2
89.01129	C2H3NO3
89.04768	C3H7NO2
89.05891	C2H7N3O
89.08406	C4H11NO
89.98724	C3H3ClO
89.99531	C2H2O4
90.01393	C3H6OS
90.03169	C3H6O3
90.04293	C2H6N2O2
90.05032	C4H10S
90.06808	C4H10O2
90.07931	C3H10N2O
91.02694	C2H5NO3
91.06333	C3H9NO2
91.9932	C2H4O2S
92.00289	C3H5ClO
92.02958	C3H8OS
92.04734	C3H8O3
92.0626	C7H8
93.05785	C6H7N
93.93771	C2Cl2
93.98216	C2H3ClO2
93.99109	C2H6S2
94.00885	C2H6O2S
94.03784	CH6N2O3
94.04186	C6H6O
94.0531	C5H6N2
95.03711	C5H5NO
95.94782	CH4Se
95.95336	C2H2Cl2
95.98812	CH4O3S
95.99763	CH5O3P
96.02113	C5H4O2
96.03753	C6H5F
96.05751	C6H8O
96.06874	C5H8N2
96.99288	H4NO3P
97.01638	C4H3NO2
97.06399	C4H7N3
97.96738	H2O4S
97.969	C2H4Cl2
97.9769	H3O4P
98.03678	C5H6O2
98.04801	C4H6N2O
98.07316	C6H10O
98.08439	C5H10N2
99.01427	C4H5NS
99.03203	C4H5NO2
99.06841	C5H9NO
99.10479	C6H13N
100.00952	C3H4N2S
100.0136	C2H3F3O
100.01604	C4H4O3
100.02728	C3H4N2O2
100.05243	C5H8O2
100.06366	C4H8N2O
100.08881	C6H12O
100.10004	C5H12N2
101.04768	C4H7NO2
101.07014	C2H7N5
101.08406	C5H11NO
101.12044	C6H15N
102.00926	C2H2F4
102.02517	C3H6N2S
102.03169	C4H6O3
102.04293	C3H6N2O2
102.06808	C5H10O2
102.07931	C4H10N2O
102.08521	C4H11BO2
102.08647	C5H14Si
102.10446	C6H14O
102.11569	C5H14N2
103.01887	C4H6ClN
103.02694	C3H5NO3
103.03818	C2H5N3O2
103.0422	C7H5N
103.06333	C4H9NO2
103.09971	C5H13NO
104.01096	C3H4O4
104.02219	C2H4N2O3
104.02958	C4H8OS
104.03745	C6H4N2
104.04082	C3H8N2S
104.04734	C4H8O3
104.05857	C3H8N2O2
104.0626	C8H8
105.0327	C5H3N3
105.04259	C3H7NO3
105.05785	C7H7N
105.06122	C4H11NS
105.07897	C4H11NO2
105.98216	C3H3ClO2
106.00885	C3H6O2S
106.02661	C3H6O4
106.03132	CH6N4S
106.04186	C7H6O
106.04523	C4H10OS
106.06299	C4H10O3
106.07825	C8H10
107.03711	C6H5NO
107.03825	C3H6FNO2
107.05824	C3H9NO3
107.0735	C7H9N
107.98812	C2H4O3S
107.99781	C3H5ClO2
107.99935	CH4N2O2S
108.02113	C6H4O2
108.0245	C3H8O2S
108.05751	C7H8O
108.06874	C6H8N2
109.01975	C2H7NO2S
109.05276	C6H7NO
109.06399	C5H7N3
109.06582	C4H12ClN
109.08914	C7H11N
109.96347	C2H6Se
109.969	C3H4Cl2
110.00376	C2H6O3S
110.01328	C2H7O3P
110.01902	C6H6S
110.03678	C6H6O2
110.04801	C5H6N2O
110.07316	C7H10O
111.00853	CH6NO3P
111.01427	C5H5NS
111.03203	C5H5NO2
111.04326	C4H5N3O
111.04842	C6H6FN
111.05449	C3H5N5
111.07964	C5H9N3
111.94827	C2H2Cl2O
111.98303	CH4O4S
111.98465	C3H6Cl2
111.99255	CH5O4P
112.00798	C6H5Cl
112.01604	C5H4O3
112.02728	C4H4N2O2
112.03244	C6H5FO
112.05243	C6H8O2
112.08881	C7H12O
112.9878	H4NO4P
113.01129	C4H3NO3
113.02253	C3H3N3O2
113.04768	C5H7NO2
113.05891	C4H7N3O
113.08406	C6H11NO
113.12044	C7H15N
113.94454	H2O3S2
113.95405	H3O3PS
113.99531	C4H2O4
114.00654	C3H2N2O3
114.02517	C4H6N2S
114.03169	C5H6O3
114.04293	C4H6N2O2
114.05032	C6H10S
114.06808	C6H10O2
114.07931	C5H10N2O
114.10446	C7H14O
115.02694	C4H5NO3
115.06333	C5H9NO2
115.09971	C6H13NO
115.13609	C7H17N
116.01096	C4H4O4
116.04082	C4H8N2S
116.04734	C5H8O3
116.0626	C9H8
116.08373	C6H12O2
116.09496	C5H12N2O
116.12011	C7H16O
116.13134	C6H16N2
117.00621	C3H3NO4
117.02483	C4H7NOS
117.04259	C4H7NO3
117.05382	C3H7N3O2
117.05785	C8H7N
117.07897	C5H11NO2
117.09021	C4H11N3O
117.11536	C6H15NO
117.91438	CHCl3
117.99022	C3H2O5
118.02008	C3H6N2OS
118.02661	C4H6O4
118.03784	C3H6N2O3
118.04186	C8H6O
118.0531	C7H6N2
118.05647	C4H10N2S
118.06299	C5H10O3
118.07422	C4H10N2O2
118.07825	C9H10
118.09937	C6H14O2
119.02186	C3H5NO4
119.04048	C4H9NOS
119.05824	C4H9NO3
119.07687	C5H13NS
119.09462	C5H13NO2
119.98812	C3H4O3S
120.00587	C3H4O5
120.00674	C4H8S2
120.0245	C4H8O2S
120.03573	C3H8N2OS
120.04226	C4H8O4
120.04359	C5H4N4
120.05751	C8H8O
120.06874	C7H8N2
120.0939	C9H12
121.01975	C3H7NO2S
121.05276	C7H7NO
121.06399	C6H7N3
121.07389	C4H11NO3
121.08914	C8H11N
121.93672	C2H3BrO
121.97128	C2H7AsO
121.98601	C3H6OS2
122.00376	C3H6O3S
122.03678	C7H6O2
122.04801	C6H6N2O
122.05391	C6H7BO2
122.05791	C4H10O4
122.07316	C8H10O
122.07365	C5H13ClN
122.08439	C7H10N2
122.96836	C2H6BrN
123.0087	C3H6ClNO2
123.01427	C6H5NS
123.03203	C6H5NO2
123.04326	C5H5N3O
123.06841	C7H9NO
123.07964	C6H9N3
123.98303	C2H4O4S
123.99255	C2H5O4P
124.00166	C3H8OS2
124.01604	C6H4O3
124.01941	C3H8O3S
124.02728	C5H4N2O2
124.02893	C3H9O3P
