database	organism_or_subset	category	source_url	description	source_filename	source_format	source_version	released_on	license	login_required	beams_db_version	database_name	id	molecular_formula	inchi	inchi_key	pubchem_id	smiles	name
BioCyc	Chlamydomonas_reinhardtii	ChlamyCyc	ftp.dpb.carnegiescience.edu//Pathways/Data_dumps/PMN13_July2018/compounds/chlamycyc_compounds.20180702	PlantCyc - ChlamyCyc (Chlamydomonas reinhardtii) | 2018-07-02 | v1	ChlamyCyc_compounds.20180702	tab	2018-07-02	2018-07-02	-	0	v1	biocyc_chlamycyc_20180702_v1	Compound_id	Chemical_formula				Smiles	Compound_common_name
CHEBI		complete	ftp://ftp.ebi.ac.uk/pub/databases/chebi/archive/rel195/SDF/ChEBI_complete.sdf.gz	CHEBI - Complete database | rel195 | v1	ChEBI_complete.sdf	sdf	rel195	2021-01-01	https://creativecommons.org/licenses/by/4.0/	0	v1	chebi_complete_rel195_v1	ChEBI ID	Formulae	InChI	InChIKey	PubChem Database Links	SMILES	ChEBI Name
CHEBI		complete_3star	ftp://ftp.ebi.ac.uk/pub/databases/chebi/archive/rel195/SDF/ChEBI_complete_3star.sdf.gz	CHEBI -  Complete 3star records | rel195 | v1	ChEBI_complete_3star.sdf	sdf	rel195	2021-01-01	https://creativecommons.org/licenses/by/4.0/	0	v1	chebi_complete_3star_rel195_v1	ChEBI ID	Formulae	InChI	InChIKey	PubChem Database Links	SMILES	ChEBI Name
HMDB	Human	urine	http://www.hmdb.ca/system/downloads/current/urine_metabolites.zip	HMDB - The Urine Metabolome Database | v4.0 2020-09-10 | v1	urine_metabolites.xml	xml	v4.0	2020-09-10	http://www.hmdb.ca/downloads	0	v1	hmdb_urine_v4_0_20200910_v1	accession	chemical_formula	inchi	inchikey	pubchem_compound_id	smiles	name
HMDB	Human	serum	http://www.hmdb.ca/system/downloads/current/serum_metabolites.zip	HMDB - The Serum Metabolome Database | v4.0 2020-09-10 | v1	serum_metabolites.xml	xml	v4.0	2020-09-10	http://www.hmdb.ca/downloads	0	v1	hmdb_serum_v4_0_20200910_v1	accession	chemical_formula	inchi	inchikey	pubchem_compound_id	smiles	name
HMDB	Human	csf	http://www.hmdb.ca/system/downloads/current/csf_metabolites.zip	HMDB - The cerebrospinal fluid (CSF) Metabolome Database | v4.0 2020-09-10 | v1	csf_metabolites.xml	xml	v4.0	2020-09-10	http://www.hmdb.ca/downloads	0	v1	hmdb_csf_v4_0_20200910_v1	accession	chemical_formula	inchi	inchikey	pubchem_compound_id	smiles	name
HMDB	Human	saliva	http://www.hmdb.ca/system/downloads/current/saliva_metabolites.zip	HMDB - The Saliva Metabolome Database | v4.0 2020-09-10 | v1	saliva_metabolites.xml	xml	v4.0	2020-09-10	http://www.hmdb.ca/downloads	0	v1	hmdb_saliva_v4_0_20200910_v1	accession	chemical_formula	inchi	inchikey	pubchem_compound_id	smiles	name
HMDB	Human	faces	http://www.hmdb.ca/system/downloads/current/feces_metabolites.zip	HMDB - The Fecal Metabolome Database | v4.0 2020-09-10 | v1	feces_metabolites.xml	xml	v4.0	2020-09-10	http://www.hmdb.ca/downloads	0	v1	hmdb_feces_v4_0_20200910_v1	accession	chemical_formula	inchi	inchikey	pubchem_compound_id	smiles	name
HMDB	Human	sweat	http://www.hmdb.ca/system/downloads/current/sweat_metabolites.zip	HMDB - The Sweat Metabolome Database | v4.0 2020-09-10 | v1	sweat_metabolites.xml	xml	v4.0	2020-09-10	http://www.hmdb.ca/downloads	0	v1	hmdb_sweat_v4_0_20200910_v1	accession	chemical_formula	inchi	inchikey	pubchem_compound_id	smiles	name
HMDB	Human	full	http://www.hmdb.ca/system/downloads/current/hmdb_metabolites.zip	HMDB - The Human Metabolome Database | v4.0 2020-09-09 | v1	hmdb_metabolites.xml	xml	v4.0	2020-09-09	http://www.hmdb.ca/downloads	0	v1	hmdb_full_v4_0_20200909_v1	accession	chemical_formula	inchi	inchikey	pubchem_compound_id	smiles	name
KEGG	Daphnia_pulex	dpx	https://www.kegg.jp/kegg/rest/keggapi.html	KEGG - Daphnia pulex (dpx) | 2021-01-11 | v1	API	API	2021-01-11 | v1	2021-01-11	-	0	v1	kegg_dpx_20210111_v1	entry	formula					name
KEGG	Human	hsa	https://www.kegg.jp/kegg/rest/keggapi.html	KEGG - Human (hsa) | 2021-01-11 | v1	API	API	2021-01-11 | v1	2021-01-11	-	0	v1	kegg_hsa_20210111_v1	entry	formula					name
KEGG		full	https://www.kegg.jp/kegg/rest/keggapi.html	KEGG - Full database | 2021-01-11 | v1	API	API	2021-01-11 | v1	2021-01-11	-	0	v1	kegg_full_20210111_v1	entry	formula					name
LIPID_MAPS		Fatty Acyls [FA]	https://www.lipidmaps.org/files/?file=LMSD&ext=sdf.zip	LIPID_MAPS - Fatty Acyls [FA] | 2020-10-01 | v1	structures.sdf	sdf	2020-10-01	2020-10-01	-	0	v1	lipidmaps_fattyacyls_20201001_v1	LM_ID	FORMULA	INCHI	INCHI_KEY	PUBCHEM_CID	SMILES	NAME
LIPID_MAPS		Glycerolipids [GL]	https://www.lipidmaps.org/files/?file=LMSD&ext=sdf.zip	LIPID_MAPS - Glycerolipids [GL] | 2020-10-01 | v1	structures.sdf	sdf	2020-10-01	2020-10-01	-	0	v1	lipidmaps_glycerolipids_20201001_v1	LM_ID	FORMULA	INCHI	INCHI_KEY	PUBCHEM_CID	SMILES	NAME
